ID,knob_simd,knob_compute_units,knob_xyz_loop,knob_entryid_loop,knob_entryid_num_wi,knob_hardcode_size,knob_cache_voxels,knob_xyz_loop_flat,knob_xyz_unroll,knob_entryid_unroll,knob_voxel_unroll,knob_voxel_out_unroll,knob_depth_local,knob_branch_pos,knob_unused,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,time_fpga,logic,mem,ram,dsp,fmax,verif,error,fit
../benchmarks/depth_fusion205,1,1,0,0,64,0,2,0,2,1,2,2,0,0,1,85,44,75,59,4.58613e-05,464.064,25817,1073084,-1,74,125.62,P,N,Y
../benchmarks/depth_fusion206,1,1,0,0,64,0,2,0,2,1,2,2,0,1,0,83,43,72,59,4.58434e-05,486.979,25356,1049192,-1,74,127.79,P,N,Y
../benchmarks/depth_fusion207,1,1,0,0,64,0,2,0,2,1,2,2,0,1,1,83,43,72,59,4.58434e-05,487.027,25356,1049192,-1,74,127.79,P,N,Y
../benchmarks/depth_fusion224,1,1,0,0,64,0,2,1,1,1,1,1,0,0,0,58,28,45,33,0.000183875,74.6191,15576,759007,-1,41,109.76,P,N,Y
../benchmarks/depth_fusion225,1,1,0,0,64,0,2,1,1,1,1,1,0,0,1,58,28,45,33,0.000183875,74.6178,15576,759007,-1,41,109.76,P,N,Y
../benchmarks/depth_fusion226,1,1,0,0,64,0,2,1,1,1,1,1,0,1,0,58,29,45,33,0.000159358,75.4364,15328,734702,-1,41,108.7,P,N,Y
../benchmarks/depth_fusion227,1,1,0,0,64,0,2,1,1,1,1,1,0,1,1,58,29,45,33,0.000159358,74.6848,15322,734702,-1,41,110.12,P,N,Y
../benchmarks/depth_fusion228,1,1,0,0,64,0,2,1,1,1,1,2,0,0,0,57,28,43,33,0.000183875,62.147,15378,702759,-1,41,107.06,P,N,Y
../benchmarks/depth_fusion229,1,1,0,0,64,0,2,1,1,1,1,2,0,0,1,57,28,43,33,0.000183875,62.1475,15378,702759,-1,41,107.06,P,N,Y
../benchmarks/depth_fusion230,1,1,0,0,64,0,2,1,1,1,1,2,0,1,0,57,28,42,33,0.000159358,63.0155,15197,677782,-1,41,106.14,P,N,Y
../benchmarks/depth_fusion231,1,1,0,0,64,0,2,1,1,1,1,2,0,1,1,57,28,42,33,0.000159358,63.0185,15197,677782,-1,41,106.14,P,N,Y
../benchmarks/depth_fusion232,1,1,0,0,64,0,2,1,1,1,2,1,0,0,0,57,28,44,33,0.000171617,62.3311,15577,702615,-1,41,114.61,P,N,Y
../benchmarks/depth_fusion233,1,1,0,0,64,0,2,1,1,1,2,1,0,0,1,57,28,44,33,0.000171617,62.3279,15577,702615,-1,41,114.61,P,N,Y
../benchmarks/depth_fusion234,1,1,0,0,64,0,2,1,1,1,2,1,0,1,0,58,29,44,33,0.000159358,65.5931,15516,677606,-1,41,109.54,P,N,Y
../benchmarks/depth_fusion235,1,1,0,0,64,0,2,1,1,1,2,1,0,1,1,58,29,44,33,0.000159358,65.5853,15516,677606,-1,41,109.54,P,N,Y
../benchmarks/depth_fusion236,1,1,0,0,64,0,2,1,1,1,2,2,0,0,0,57,28,43,33,0.000171216,50.5823,15486,702215,-1,41,112.29,P,N,Y
