ID,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,estim_throughput_0,logic,mem,ram,dsp,fmax,fit
../benchmarks/combined212,0,1,1,0,0,2,2,0,1,1,1,44,21,50,42,2.3773e-05,83162,9869562,883,108,275.1,Y
../benchmarks/combined213,0,1,1,0,0,2,2,0,1,1,2,44,21,50,42,2.34883e-05,83123,9869562,883,108,280.19,Y
../benchmarks/combined214,0,1,1,0,0,2,2,0,1,2,1,44,21,50,42,2.19184e-05,83191,9873146,884,108,277.93,Y
../benchmarks/combined215,0,1,1,0,0,2,2,0,1,2,2,44,21,50,42,2.16558e-05,83198,9873146,884,108,277.23,Y
../benchmarks/combined216,0,1,1,0,0,2,2,0,2,1,1,59,30,66,77,2.16528e-05,110752,11742712,1047,196,264.27,Y
../benchmarks/combined217,0,1,1,0,0,2,2,0,2,1,2,59,30,66,77,2.13871e-05,110598,11742712,1047,196,267.8,Y
../benchmarks/combined218,0,1,1,0,0,2,2,0,2,2,1,60,30,66,77,2.29147e-05,110811,11746296,1047,196,278.24,Y
../benchmarks/combined219,0,1,1,0,0,2,2,0,2,2,2,60,30,66,77,2.34822e-05,110650,11738590,1048,196,276.08,Y
../benchmarks/combined220,0,1,1,0,0,2,2,1,1,1,1,41,19,46,42,5.54703e-05,79354,9594575,857,108,277.93,Y
../benchmarks/combined221,0,1,1,0,0,2,2,1,1,1,2,41,19,46,42,4.11045e-05,79257,9594575,857,108,276.54,Y
../benchmarks/combined222,0,1,1,0,0,2,2,1,1,2,1,41,19,46,42,3.83626e-05,79439,9598159,858,108,272.33,Y
../benchmarks/combined223,0,1,1,0,0,2,2,1,1,2,2,41,19,46,42,3.03181e-05,79390,9598159,858,108,285.14,Y
../benchmarks/combined224,0,1,1,0,0,2,2,1,2,1,1,56,26,56,84,3.78976e-05,108344,10282852,944,216,261.7,Y
../benchmarks/combined225,0,1,1,0,0,2,2,1,2,1,2,56,26,56,84,2.99461e-05,108322,10282852,944,216,257.2,Y
../benchmarks/combined226,0,1,1,0,0,2,2,1,2,2,1,56,27,56,84,3.20851e-05,108318,10286436,944,216,269.61,Y
../benchmarks/combined227,0,1,1,0,0,2,2,1,2,2,2,56,26,56,84,5.47995e-05,108291,10279780,946,216,273.89,Y
../benchmarks/combined228,0,1,1,0,1,0,1,0,1,1,1,32,15,48,21,0.213082,59968,13211050,1033,54,269.46,Y
../benchmarks/combined229,0,1,1,0,1,0,2,0,1,1,1,41,19,56,42,0.194753,77652,14381116,1152,108,163.93,Y
../benchmarks/combined230,0,1,1,0,1,1,1,0,1,1,1,32,15,48,21,0.198861,60212,13265226,1038,54,284.89,Y
../benchmarks/combined231,0,1,1,0,1,1,2,0,1,1,1,42,20,58,42,0.152751,80251,14558849,1171,108,161.755,Y
../benchmarks/combined232,0,1,1,0,1,2,1,0,1,1,1,32,15,48,21,0.198861,60232,13265226,1038,54,271.22,Y
../benchmarks/combined233,0,1,1,0,1,2,2,0,1,1,1,42,20,58,42,0.152751,80251,14558849,1171,108,161.755,Y
../benchmarks/combined234,1,1,0,0,0,0,1,0,1,1,1,31,15,31,21,4.39355e-05,68884,5690808,599,54,241.42,Y
../benchmarks/combined235,1,1,0,0,0,0,1,0,2,1,1,38,19,35,38,4.43209e-05,86533,5936928,655,98,190.475,Y
../benchmarks/combined236,1,1,0,0,0,0,1,1,1,1,1,30,14,31,21,0.000175613,57710,5516339,572,54,162.78,Y
../benchmarks/combined237,1,1,0,0,0,0,1,1,2,1,1,38,19,39,42,0.000177154,70816,5968856,631,108,201.855,Y
../benchmarks/combined238,1,1,0,0,0,0,2,0,1,1,1,44,22,41,42,2.42276e-05,94450,7505184,748,108,243.42,Y
../benchmarks/combined239,1,1,0,0,0,0,2,0,2,1,1,58,30,49,77,2.44479e-05,129217,8046832,867,196,187.405,Y
../benchmarks/combined240,1,1,0,0,0,0,2,1,1,1,1,40,18,38,42,8.47671e-05,73807,7203010,698,108,148.47,Y
../benchmarks/combined241,1,1,0,0,0,0,2,1,2,1,1,53,25,46,84,8.55377e-05,100281,8457766,809,216,206.27,Y
../benchmarks/combined242,1,1,0,0,0,1,1,0,1,1,1,32,16,34,21,4.44459e-05,62077,5606409,588,54,247.64,Y
../benchmarks/combined243,1,1,0,0,0,1,1,0,1,1,2,32,16,34,21,4.14795e-05,62083,5607959,591,54,253.74,Y
