ID_x,knob_point_interpolation,knob_normal_interpolation,knob_nabla_unroll,knob_hessian_unroll,knob_branch,knob_nabla_sumtype,knob_hessian_sumtype,knob_shift_register,knob_flatten_loop,knob_use_wi,knob_pipe_depth,knob_compute_units,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,logic,mem,ram,dsp,fmax,fit,ID_int,ID_y,Tracking1,Tracking2,Raycast,Raycast_CreateDepths,Raycast_CreatePointCloud,Raycast_CreateICPMaps,Raycast_ForwardRender,Fusion,Fusion_allocate,Fusion_integrate,Total_time,Unnamed: 12
../benchmarks/icp349,0,0,1,1,1,1,0,2,1,0,2,1,69,35,55,70,9.61809e-05,24581,611806,262,80,143.88,Y,349,icp349_timing.csv,286.467822785,0.0,613.143848101,45.4421139241,0.0,567.587443038,0.0,715.835670886,64.8929746835,650.866987342,1638.60316456,
../benchmarks/icp360,0,0,1,1,1,2,0,2,0,0,2,1,80,41,63,70,2.40687e-05,27396,608483,278,80,143.78,Y,360,icp360_timing.csv,280.434848101,0.0,612.096949367,45.7423670886,0.0,566.240620253,0.0,716.832683544,66.5446962025,650.212417722,1632.14405063,
../benchmarks/icp361,0,0,1,1,1,2,0,2,1,0,2,1,78,39,62,70,9.61809e-05,26993,631486,283,80,141.24,Y,361,icp361_timing.csv,285.160987342,0.0,621.623873418,46.8597721519,0.0,574.643607595,0.0,734.712936709,69.0674556962,665.564531646,1663.63594937,
../benchmarks/icp363,0,0,1,1,1,2,0,4,1,0,2,1,82,41,63,70,9.61809e-05,30096,638402,283,80,143.53,Y,363,icp363_timing.csv,283.638455696,0.0,613.194265823,45.5123797468,0.0,567.566987342,0.0,715.891151899,64.8968987342,650.919113924,1635.60607595,
../benchmarks/icp384,0,1,0,0,0,0,0,2,0,0,2,1,78,40,56,56,1.12993e-05,23717,595410,224,65,113.17,Y,384,icp384_timing.csv,448.515721519,0.0,616.819417722,46.0445443038,0.0,570.659873418,0.0,723.420987342,66.6762405063,656.67056962,1811.50518987,
../benchmarks/icp385,0,1,0,0,0,0,0,2,1,0,2,1,79,40,56,56,2.54235e-05,24376,622487,229,65,115.51,Y,385,icp385_timing.csv,444.531898734,0.0,611.640050633,45.9376202532,0.0,565.585772152,0.0,718.562151899,66.339835443,652.14564557,1797.68683544,
../benchmarks/icp396,0,1,0,0,0,1,0,2,0,0,2,1,79,40,55,56,1.12993e-05,23576,595410,224,65,117.66,Y,396,icp396_timing.csv,447.351683544,0.0,614.902632911,45.7279746835,0.0,569.058721519,0.0,717.863088608,65.7086455696,652.07864557,1802.98696203,
../benchmarks/icp397,0,1,0,0,0,1,0,2,1,0,2,1,80,41,55,56,2.54235e-05,24262,622999,229,65,114.81,Y,397,icp397_timing.csv,454.531683544,0.0,611.268202532,45.642721519,0.0,565.509151899,0.0,715.468253165,65.862835443,649.530848101,1804.07177215,
../benchmarks/icp408,0,1,0,0,0,2,0,2,0,0,2,1,79,40,55,56,1.12993e-05,25704,595662,231,65,112.46,Y,408,icp408_timing.csv,460.899113924,0.0,612.290075949,45.4483291139,0.0,566.726139241,0.0,714.174582278,64.5099240506,649.592582278,1810.26556962,
../benchmarks/icp409,0,1,0,0,0,2,0,2,1,0,2,1,80,41,55,56,2.54235e-05,26135,622739,235,65,116.21,Y,409,icp409_timing.csv,437.848734177,0.0,613.094417722,45.7825063291,0.0,567.197898734,0.0,723.550721519,66.8726962025,656.605405063,1797.23848101,
../benchmarks/icp410,0,1,0,0,0,2,0,4,0,0,2,1,84,43,56,56,1.12993e-05,29645,603602,231,65,114.56,Y,410,icp410_timing.csv,445.645708861,0.0,614.145341772,45.8015189873,0.0,568.227303797,0.0,717.662835443,65.0683924051,652.519683544,1800.37075949,
../benchmarks/icp411,0,1,0,0,0,2,0,4,1,0,2,1,84,43,56,56,2.54235e-05,29379,630679,235,65,115.15,Y,411,icp411_timing.csv,446.580746835,0.0,612.974518987,45.5851265823,0.0,567.273075949,0.0,716.293873418,64.5191772152,651.701544304,1798.77189873,
../benchmarks/icp432,0,1,0,0,1,0,0,2,0,0,2,1,77,40,51,47,3.19268e-05,25274,590327,231,55,115.07,Y,432,icp432_timing.csv,452.543037975,0.0,619.56921519,45.7833670886,0.0,573.668987342,0.0,718.406443038,66.1694556962,652.159848101,1813.31924051,
../benchmarks/icp433,0,1,0,0,1,0,0,2,1,0,2,1,77,40,50,47,3.19268e-05,25754,615676,237,55,113.63,Y,433,icp433_timing.csv,441.971772152,0.0,612.881417722,45.6014556962,0.0,567.164632911,0.0,715.460177215,64.8257594937,650.559113924,1793.33025316,
../benchmarks/icp444,0,1,0,0,1,1,0,2,0,0,2,1,75,39,50,47,3.19268e-05,25504,589405,229,55,117.45,Y,444,icp444_timing.csv,421.604582278,0.0,614.079721519,45.6191139241,0.0,568.347265823,0.0,718.189544304,65.0120886076,653.105341772,1776.77860759,
../benchmarks/icp445,0,1,0,0,1,1,0,2,1,0,2,1,75,38,50,47,3.19268e-05,25577,614793,235,55,112.75,Y,445,icp445_timing.csv,427.347025316,0.0,611.959734177,45.6119240506,0.0,566.230417722,0.0,713.932594937,65.4057468354,648.450607595,1776.20974684,
../benchmarks/icp456,0,1,0,0,1,2,0,2,0,0,2,1,86,45,60,47,3.19268e-05,27698,609529,253,55,116.09,Y,456,icp456_timing.csv,421.109291139,0.0,612.175696203,45.4507594937,0.0,566.609139241,0.0,715.156835443,65.1620126582,649.921050633,1771.35316456,
../benchmarks/icp457,0,1,0,0,1,2,0,2,1,0,2,1,86,44,60,47,3.19268e-05,27670,634917,259,55,113.59,Y,457,icp457_timing.csv,425.784886076,0.0,616.68078481,46.4240379747,0.0,570.138227848,0.0,727.029265823,66.6344683544,660.317278481,1792.04544304,
../benchmarks/icp459,0,1,0,0,1,2,0,4,1,0,2,1,90,46,61,47,3.19268e-05,30940,641833,259,55,114.71,Y,459,icp459_timing.csv,421.022329114,0.0,612.773316456,45.7368481013,0.0,566.920417722,0.0,715.395556962,66.2361012658,649.084506329,1771.94240506,
../benchmarks/icp480,0,1,0,1,0,0,0,2,0,0,2,1,70,35,56,70,2.40687e-05,24280,597251,252,80,139.68,Y,480,icp480_timing.csv,299.21364557,0.0,612.172468354,46.1892658228,0.0,565.865088608,0.0,717.579683544,66.7457974684,650.758329114,1651.61746835,
../benchmarks/icp481,0,1,0,1,0,0,0,2,1,0,2,1,69,35,55,70,9.61809e-05,24030,620675,256,80,141.4,Y,481,icp481_timing.csv,289.99735443,0.0,619.060848101,46.5711139241,0.0,572.37143038,0.0,725.203632911,67.0487341772,658.075708861,1656.63227848,
../benchmarks/icp492,0,1,0,1,0,1,0,2,0,0,2,1,71,36,57,70,2.40687e-05,24249,596979,251,80,142.3,Y,492,icp492_timing.csv,296.890164557,0.0,612.041367089,45.5406708861,0.0,566.385506329,0.0,715.318316456,65.2303291139,650.012113924,1647.14974684,
../benchmarks/icp493,0,1,0,1,0,1,0,2,1,0,2,1,70,35,56,70,9.61809e-05,23974,621080,256,80,137.34,Y,493,icp493_timing.csv,301.238594937,0.0,612.229189873,45.7388860759,0.0,566.376468354,0.0,715.353632911,65.2040886076,650.074468354,1651.73582278,
../benchmarks/icp504,0,1,0,1,0,2,0,2,0,0,2,1,73,37,56,70,2.40687e-05,26438,597592,259,80,136.25,Y,504,icp504_timing.csv,303.944810127,0.0,613.74043038,45.9083797468,0.0,567.716101266,0.0,717.211936709,64.6902025316,652.448227848,1657.8143038,
../benchmarks/icp505,0,1,0,1,0,2,0,2,1,0,2,1,72,36,55,70,9.61809e-05,25963,620484,263,80,142.65,Y,505,icp505_timing.csv,290.755518987,0.0,617.453379747,48.5809367089,0.0,568.779658228,0.0,724.661620253,68.2423924051,656.34321519,1655.45620253,
../benchmarks/icp506,0,1,0,1,0,2,0,4,0,0,2,1,78,40,56,70,2.40687e-05,30258,605532,259,80,128.18,Y,506,icp506_timing.csv,321.256696203,0.0,614.632949367,47.3314556962,0.0,567.212063291,0.0,712.758936709,64.5705063291,648.115151899,1671.71746835,
../benchmarks/icp507,0,1,0,1,0,2,0,4,1,0,2,1,76,38,55,70,9.61809e-05,29240,628424,263,80,134.58,Y,507,icp507_timing.csv,311.31443038,0.0,615.06664557,47.3031518987,0.0,567.666974684,0.0,715.917,65.0039367089,650.840367089,1665.35316456,
../benchmarks/icp528,0,1,0,1,1,0,0,2,0,0,2,1,75,39,56,65,2.88825e-05,24758,586958,248,75,132.89,Y,528,icp528_timing.csv,353.88635443,0.0,613.428936709,47.3813670886,0.0,565.954392405,0.0,714.479164557,65.5192025316,648.886493671,1704.76544304,
../benchmarks/icp529,0,1,0,1,1,0,0,2,1,0,2,1,75,39,55,65,9.61809e-05,24820,612193,255,75,135.06,Y,529,icp529_timing.csv,350.843886076,0.0,614.975734177,47.0561392405,0.0,567.826113924,0.0,713.861113924,65.1978481013,648.588594937,1703.06202532,
